"","ACCts"
"1",82.6086956521739
"2",85.2173913043478
"3",86.9565217391304
"4",89.5652173913044
"5",89.5652173913044
"6",86.9565217391304
"7",85.2173913043478
"8",91.304347826087
"9",86.0869565217391
"10",86.9565217391304
"11",93.9130434782609
"12",85.2173913043478
"13",86.9565217391304
"14",93.9130434782609
"15",89.5652173913044
"16",86.9565217391304
"17",80
"18",87.8260869565217
"19",87.8260869565217
"20",88.695652173913
"21",86.9565217391304
"22",88.695652173913
"23",85.2173913043478
"24",88.695652173913
"25",88.695652173913
"26",93.0434782608696
"27",86.0869565217391
"28",88.695652173913
"29",85.2173913043478
"30",84.3478260869565
"31",89.5652173913044
"32",86.9565217391304
"33",88.695652173913
"34",92.1739130434783
"35",93.9130434782609
"36",88.695652173913
"37",88.695652173913
"38",89.5652173913044
"39",85.2173913043478
"40",80
"41",83.4782608695652
"42",88.695652173913
"43",89.5652173913044
"44",86.9565217391304
"45",90.4347826086957
"46",89.5652173913044
"47",83.4782608695652
"48",80.8695652173913
"49",90.4347826086957
"50",87.8260869565217
"51",89.5652173913044
"52",79.1304347826087
"53",91.304347826087
"54",89.5652173913044
"55",85.2173913043478
"56",89.5652173913044
"57",86.0869565217391
"58",84.3478260869565
"59",89.5652173913044
"60",87.8260869565217
"61",88.695652173913
"62",89.5652173913044
"63",90.4347826086957
"64",88.695652173913
"65",87.8260869565217
"66",88.695652173913
"67",87.8260869565217
"68",83.4782608695652
"69",80.8695652173913
"70",87.8260869565217
"71",79.1304347826087
"72",95.6521739130435
"73",89.5652173913044
"74",85.2173913043478
"75",89.5652173913044
"76",92.1739130434783
"77",87.8260869565217
"78",86.9565217391304
"79",80.8695652173913
"80",83.4782608695652
"81",89.5652173913044
"82",86.9565217391304
"83",80
"84",92.1739130434783
"85",91.304347826087
"86",80.8695652173913
"87",90.4347826086957
"88",89.5652173913044
"89",88.695652173913
"90",84.3478260869565
"91",87.8260869565217
"92",90.4347826086957
"93",87.8260869565217
"94",89.5652173913044
"95",89.5652173913044
"96",89.5652173913044
"97",91.304347826087
"98",84.3478260869565
"99",88.695652173913
"100",87.8260869565217
